	Troy Brown Jr.	Lal	G-F	23.38	23	24.1	50.3	13.1	12.2	17	1	75	0.533	69	0.319	0.507	0.538	7.1	4.4	9.6	0.9	4.7	0.74	0.09	0.91	5	104.6	109
	Bruce Brown	Den	G-F	26.33	26	29.8	62.1	16.7	15.5	30	0.833	154	0.519	84	0.393	0.544	0.565	10.9	4.5	8.8	4.3	19	1.08	0.5	1.77	8	113.7	109.8
	Jaylen Brown	Bos	G-F	26.13	26	35.4	73.8	31.1	11.7	138	0.819	334	0.593	180	0.339	0.563	0.602	26.6	7	11.1	3.5	16.9	1.04	0.38	2.92	9.8	112.4	106.1
	Kendall Brown	Ind	G	19.59	6	6.7	14	10.1	20.2	2	0.5	6	0.667	1	0	0.571	0.571	1.5	1	8.1	0.5	10	0.67	0	0.33	5.4	108.9	91.7
	Moses Brown	Lac	C	23.17	21	6.3	13.1	23.9	5.6	43	0.488	49	0.653	0	0	0.653	0.626	4	2.8	24.6	0	1.3	0.05	0.43	0.19	0	130.4	96.1
	Jalen Brunson	Nyk	G	26.28	27	31.7	66	25.8	10	137	0.883	308	0.513	108	0.324	0.506	0.569	20.1	3.3	5.5	6.3	31.7	1.07	0.19	1.96	9.4	120.1	109
	Thomas Bryant	Lal	C-F	25.37	12	15.1	31.4	18.1	6.4	34	0.706	48	0.771	10	0.3	0.716	0.733	8.9	4.3	15.2	0.7	6.8	0.17	0.75	0.42	7.9	144.9	104.3
	Reggie Bullock	Dal	G-F	31.75	26	26.6	55.4	9.5	7.6	19	0.684	21	0.429	105	0.305	0.452	0.473	4.9	3.1	6.9	0.9	4.4	0.81	0.08	0.42	3.6	99.9	108
	Alec Burks	Det	G	31.4	16	20.6	42.9	25.6	7.1	67	0.791	79	0.481	76	0.382	0.526	0.585	13.5	2.9	7.7	1.9	15	0.94	0.06	0.88	8.2	118.7	106.6
	John Butler Jr.	Por	F	20.03	4	3.9	8	8.5	0	0	0	1	1	2	0	0.333	0.333	0.5	0.5	7.4	0.3	8.6	0	0.25	0	4.3		
	Jimmy Butler	Mia	F	33.25	18	35.2	73.3	24.1	9.9	134	0.843	214	0.551	38	0.368	0.552	0.629	21.7	6.7	10.9	5.9	28.9	1.72	0.22	1.89	10.8	129.3	107.5
	Jamal Cain	Mia	F	23.73	8	11.6	24.2	15.5	6.1	6	0.667	22	0.636	6	0.167	0.554	0.571	4.4	2.4	11.7	0.6	8.5	0.63	0	0.25	6.4	121.3	100.2
	Kentavious Caldwell-Pope	Den	G	29.82	25	31.1	64.9	14.2	11.8	33	0.788	94	0.479	115	0.461	0.596	0.615	11	3	5.7	2.1	8.8	1.16	0.4	1.2	5.3	116.8	113.1
	Facundo Campazzo	Dal	G	31.73	8	6.5	13.6	14.6	17.8	2	0.5	2	0	11	0.273	0.346	0.36	1.3	0.3	2.3	1.1	22.9	0.75	0	0.38	4.6	86.8	107.5
	Vlatko Cancar	Den	F	25.68	17	12	25.1	16.8	12.7	9	0.778	31	0.516	34	0.412	0.569	0.587	4.8	1.7	8.2	1	11	0.41	0.24	0.59	6.7	112.8	106.8
	Clint Capela	Atl	C	28.57	25	27.8	58	15.6	8.8	48	0.583	216	0.625	0	0	0.625	0.628	11.9	12.2	23.6	0.7	3.7	0.64	1.36	0.92	6.7	131.4	103.7
	Vernon Carey Jr.	Was	F-C	21.8	3	1.7	3.5	25.7	33.3	0	0	2	0	0	0	0	0	0	0.3	10.8	0	0	0	0	0.33	0		
	Wendell Carter Jr.	Orl	C-F	23.66	15	32.8	68.4	21.1	16.4	69	0.826	117	0.59	52	0.346	0.568	0.624	16.6	9.1	15.9	3.3	15.8	0.53	0.53	2.6	9.7	118.1	106.1
	Jevon Carter	Mil	G	27.25	26	26.2	54.6	14	15.5	19	0.842	91	0.451	92	0.413	0.536	0.554	8.2	2.7	5.5	3.4	17.7	1.31	0.62	1.35	6.4	112.2	101.9
	Alex Caruso	Chi	G	28.79	25	25.3	52.6	10.2	21.9	34	0.765	46	0.478	57	0.351	0.505	0.551	5.2	2.7	6	3.8	18.8	1.52	0.72	1.32	6	110.3	104.7
	Justin Champagnie	Tor	G-F	21.46	3	3.6	7.6	11.6	0	0	0	3	1	0	0	1	1	2	1.3	20.8	0.3	16.4	0	0	0	10.2		
	Julian Champagnie	Phi	F	21.46	2	3.4	7	13.3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0		
	Kennedy Chandler	Mem	G	20.24	11	11.7	24.4	18.6	20.7	7	0.429	31	0.452	12	0.167	0.395	0.401	3.4	1.8	8.3	2.5	28.3	0.64	0.36	1.09	8.5	89.7	109.2
	Max Christie	Lal	G	19.84	11	11.4	23.7	11	9.2	4	0.75	9	0.333	19	0.421	0.536	0.554	3	2.3	10.5	0.5	5.1	0.27	0	0.27	5.3	107.5	109.5
	Josh Christopher	Hou	G	21.01	18	7	14.6	21.2	18.6	6	0.833	36	0.528	14	0.214	0.47	0.494	2.9	1.1	8.7	0.6	13.7	0.28	0.06	0.67	7.1	93.6	108.3
	Brandon Clarke	Mem	F	26.23	27	19.8	41.2	18	14.1	61	0.689	168	0.655	6	0.167	0.641	0.66	9.8	5	13.6	1.3	9.3	0.37	0.85	1.22	8.1	122	100.5
	Jordan Clarkson	Uta	G	30.52	28	32.7	68.1	27	13.3	96	0.823	255	0.51	213	0.338	0.509	0.544	19.8	3.9	6.5	4.9	22.5	0.36	0.32	2.79	8.8	108.9	114.8
	Nic Claxton	Bro	F-C	23.66	26	28	58.3	15.5	13.4	73	0.425	186	0.737	1	0	0.733	0.696	11.7	8.7	17.6	1.2	6.5	0.73	2.19	1.31	7.1	130	102
	Amir Coffey	Lac	G-F	25.49	23	14.6	30.4	12.8	10.2	39	0.795	51	0.431	20	0.2	0.394	0.493	3.8	1.1	4.2	1.3	12.1	0.26	0.09	0.43	4.8	109.6	107.5
	John Collins	Atl	F-C	25.22	22	31.5	65.6	16.2	11.2	58	0.845	140	0.621	73	0.219	0.521	0.568	12.3	7.5	12.8	1.3	5.5	0.91	1.41	1.36	6.3	110.7	103.8
	Zach Collins	San	F-C	25.07	17	20.6	43	19.4	23.8	22	0.682	78	0.628	37	0.297	0.57	0.585	8.6	5.8	15.6	2.8	19.5	0.59	0.94	2.29	10.1	104.8	100.1
	Mike Conley	Uta	G	35.17	18	29	60.4	16.3	13.4	36	0.778	69	0.42	90	0.389	0.513	0.546	10.6	2.3	4.4	7.8	35.4	1.11	0.28	1.5	7.9	125	112.9
	Pat Connaughton	Mil	G	29.93	10	19.8	41.3	17.9	2.4	7	0.714	21	0.429	58	0.259	0.399	0.414	6.8	3.7	9.8	0.7	4.9	0.6	0.1	0.2	5.3	96.4	105.7
	Robert Covington	Lac	F	32	17	15.6	32.6	16.3	13.1	16	0.875	28	0.5	51	0.353	0.519	0.558	5.6	3.6	12.8	1.2	10.8	0.41	0.76	0.76	7.4	107.9	97.2
	Torrey Craig	Pho	F	31.98	24	24.4	50.8	13.3	9.8	15	0.8	75	0.587	84	0.393	0.588	0.601	8.3	4.9	11.3	1.5	7.8	0.54	0.75	0.75	6.5	125.2	106.9
	Jarrett Culver	Atl	G-F	23.81	8	16.3	33.9	16	10.1	13	0.692	28	0.536	11	0.091	0.423	0.47	5.3	4.5	14.9	0.8	6	0.63	0.25	0.63	6.6	101.6	103.4
	Cade Cunningham	Det	G	21.22	12	33.4	69.5	29.9	13.8	43	0.837	163	0.466	61	0.279	0.453	0.492	19.9	6.2	10.2	6	31	0.83	0.58	3.25	10.8	99.7	110.9
	Seth Curry	Bro	G	32.31	18	23.3	48.4	17.5	12.8	15	0.933	57	0.509	80	0.4	0.562	0.585	9.3	2.3	5.7	2.3	13.8	0.61	0.22	1.17	6.3	110	109.1
	Stephen Curry	Gol	G	34.75	24	34.9	72.7	30.9	12.3	119	0.908	206	0.592	282	0.436	0.628	0.667	30	6.6	10.4	7	33.5	1	0.29	3.17	12.8	125.3	109.8
	Dyson Daniels	Nor	G	19.74	18	20.1	41.8	11.8	14	20	0.65	51	0.569	26	0.385	0.571	0.589	5.6	3.7	10.2	2.4	15.6	0.78	0.28	0.78	7.3	120.7	99.9
	Anthony Davis	Lal	F-C	29.76	23	33.6	70	28.5	8.4	184	0.832	370	0.619	29	0.31	0.608	0.665	27.7	12.4	19.5	2.7	14	1.35	2.22	1.91	11.6	131.6	102.5
	Johnny Davis	Was	G	20.79	8	5.7	11.8	12.9	7.5	3	1	9	0.333	2	0	0.273	0.365	1.1	0.6	6.1	0.3	5.6	0	0.13	0.13	4.1	84.7	91.3
	JD Davison	Bos	G	20.2	3	2.8	5.9	25.9	20	0	0	2	0.5	2	0	0.25	0.25	0.7	0.3	6.6	0.3	15.6	0.33	0	0.33	5.7		
	Terence Davis	Sac	G	25.58	21	13	27.1	21.5	10.9	16	0.875	41	0.512	74	0.378	0.548	0.574	6.7	3	13.2	1.4	15.7	0.81	0.19	0.71	9.4	112.2	96.5
	Dewayne Dedmon	Mia	C	33.34	23	12.4	25.7	22.2	10.5	36	0.75	82	0.598	30	0.3	0.558	0.594	6.6	3.7	17.3	0.6	8.4	0.22	0.43	0.65	7.9	115.8	93.3
	Matthew Dellavedova	Sac	G	32.26	12	7.5	15.5	13.5	21.2	3	0.333	13	0.308	8	0.375	0.405	0.403	1.5	0.4	3.2	1.6	26.5	0.5	0	0.5	5.3	95.1	103.7
	DeMar DeRozan	Chi	G-F	33.35	26	35.2	73.3	28.8	8.6	211	0.891	434	0.523	35	0.314	0.519	0.601	26	5	8	4.8	22.3	0.81	0.38	2.04	9.7	120.8	107.9
	Moussa Diabate	Lac	F	20.89	6	9.4	19.7	15.1	15.4	8	0.875	13	0.615	0	0	0.615	0.696	3.8	3.7	21.3	0.2	2.6	0.33	0.17	0.5	6	141.8	102.5
	Mamadi Diakite	Cle	F	25.89	11	7.5	15.7	14	19.2	0	0	9	0.667	12	0.333	0.571	0.571	2.2	1	7.8	0.2	3.4	0.18	0.45	0.45	4.1	97.6	97.5
	Hamidou Diallo	Det	G	24.37	25	15.2	31.6	18.9	12.4	55	0.636	111	0.523	13	0.154	0.492	0.53	6.3	2.8	10.1	0.9	9.3	0.52	0.2	0.84	6.6	105.8	105.3
